symbol,side,size,entry_price,entry_time,exit_price,exit_time,pnl,pnl_percent,exit_reason
BTCUSDT,PositionSide.LONG,0.2,30099.238712305665,2025-10-11T19:59:16.442529,30143.016055279564,2025-10-11T20:59:17.456091,2.9088671240047876,0.00029088671240047874,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30143.016055279564,2025-10-11T19:59:17.479808,30071.87470206422,2025-10-11T20:59:18.496166,-4.721627534497102,-0.0004720254475191121,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30071.87470206422,2025-10-11T19:59:18.521222,30081.556991886682,2025-10-11T20:59:19.535239,0.6438264824661456,6.439432139426296e-05,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30081.556991886682,2025-10-11T19:59:19.562998,30017.75245796598,2025-10-11T20:59:20.577273,-4.24160728179479,-0.00042421031556252696,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30017.75245796598,2025-10-11T19:59:20.602841,30108.39570739284,2025-10-11T20:59:21.612511,6.036041948848584,0.0006039309542164257,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30108.39570739284,2025-10-11T19:59:21.637723,30030.715499614915,2025-10-11T20:59:22.655989,-5.160359086258937,-0.0005160036325605429,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30030.715499614915,2025-10-11T19:59:22.682439,30064.19569780731,2025-10-11T20:59:23.693758,2.228719152375891,0.00022297303034837738,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30064.19569780731,2025-10-11T19:59:23.707540,30058.57822283368,2025-10-11T20:59:24.722117,-0.37361248989736723,-3.736986700123653e-05,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30058.57822283368,2025-10-11T19:59:24.749007,30050.00878221143,2025-10-11T20:59:25.766338,-0.5700299037063361,-5.701826985110313e-05,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30050.00878221143,2025-10-11T19:59:25.792240,30034.676265261005,2025-10-11T20:59:26.805369,-1.0201350907004412,-0.00010204667200963017,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30034.676265261005,2025-10-11T19:59:26.830947,29982.78801905281,2025-10-11T20:59:27.882978,-3.4537472554277326,-0.00034552226066915853,Stop loss
BTCUSDT,PositionSide.LONG,0.2,29982.78801905281,2025-10-11T19:59:27.937946,29923.52862811674,2025-10-11T20:59:28.954224,-3.949840884469167,-0.0003952893966926127,Stop loss
BTCUSDT,PositionSide.LONG,0.2,29923.52862811674,2025-10-11T19:59:28.979124,29945.665993528724,2025-10-11T20:59:29.996694,1.4778687114478206,0.00014795959184562562,Stop loss
BTCUSDT,PositionSide.LONG,0.2,29945.665993528724,2025-10-11T19:59:30.023885,30016.7439486925,2025-10-11T20:59:31.038163,4.742288028091093,0.000474712802708313,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30016.7439486925,2025-10-11T19:59:31.063663,30030.099319788667,2025-10-11T20:59:32.076036,0.8893761408800224,8.898614132829385e-05,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30030.099319788667,2025-10-11T19:59:32.090971,30079.568862005966,2025-10-11T20:59:33.103681,3.293160234369635,0.0003294663909732761,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30079.568862005966,2025-10-11T19:59:33.128998,30062.195975575694,2025-10-11T20:59:34.143794,-1.1549818910783662,-0.00011551286861838,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30062.195975575694,2025-10-11T19:59:34.169426,30008.178348707144,2025-10-11T20:59:35.183381,-3.592852854202475,-0.0003593724617618561,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30008.178348707144,2025-10-11T19:59:35.209313,30027.048960870106,2025-10-11T20:59:36.222825,1.2569409838558254,0.00012576979477846293,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30027.048960870106,2025-10-11T19:59:36.247366,30057.21413480923,2025-10-11T20:59:37.264161,2.0082433149559824,0.00020092000368356896,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30057.21413480923,2025-10-11T19:59:37.290310,30081.8138835832,2025-10-11T20:59:38.304857,1.636410827427406,0.00016368615310545815,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30081.8138835832,2025-10-11T19:59:38.330202,30113.13569322663,2025-10-11T20:59:39.348519,2.0822089357871203,0.0002082441555196615,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30113.13569322663,2025-10-11T19:59:39.373921,30182.26216536098,2025-10-11T20:59:40.388589,4.591560615454433,0.0004591117500253918,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30182.26216536098,2025-10-11T19:59:40.414283,30136.40346179003,2025-10-11T20:59:41.428339,-3.040473620497105,-0.0003038785053267479,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30136.40346179003,2025-10-11T19:59:41.453939,30094.58422528262,2025-10-11T20:59:42.468187,-2.7760286195584665,-0.0002775330278573735,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30094.58422528262,2025-10-11T19:59:42.493320,30124.139762432525,2025-10-11T20:59:43.505055,1.9641254468287686,0.00019641764729932357,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30124.139762432525,2025-10-11T19:59:43.532895,30164.573700157864,2025-10-11T20:59:44.548921,2.6849449888235375,0.00026844874605025496,Stop loss
BTCUSDT,PositionSide.LONG,0.2,30164.573700157864,2025-10-11T19:59:44.575243,30206.08271261111,2025-10-11T20:59:45.589198,2.7533776781013355,0.00027521696720036787,Stop loss
